Motion Level,Accuracy,Precision,Recall,F1 Score,AUROC,Samples
M0 (No Motion),0.4452380952380952,0.6810810810810811,0.42,0.5195876288659794,0.4658055555555556,420
M1 (Small),0.34285714285714286,0.7307692307692307,0.12666666666666668,0.2159090909090909,0.35075,420
M2 (Mild),0.40476190476190477,0.8472222222222222,0.20333333333333334,0.3279569892473118,0.3672222222222222,420
M3 (Moderate),0.33095238095238094,0.6938775510204082,0.11333333333333333,0.19484240687679083,0.36669444444444443,420
M4 (Severe),0.34285714285714286,0.7608695652173914,0.11666666666666667,0.2023121387283237,0.41905555555555557,420
